CLASS,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
MALICIOUS,10.625073,CFxz0C4cFDuQg2ERBc,192.168.1.135,49167,65.52.108.154,443,tcp,0.000117,0,0,REJ,1,52,1,40
MALICIOUS,11.118785,CxhUDw30bbAH4Yzeng,192.168.1.135,49167,65.52.108.154,443,tcp,0.000148,0,0,REJ,1,52,1,40
MALICIOUS,11.618936,CYuFdt22ruEBkYjOm6,192.168.1.135,49167,65.52.108.154,443,tcp,0.000114,0,0,REJ,1,48,1,40
MALICIOUS,8.455509,CaFe5N3EYiECUvBNd9,192.168.1.135,54611,52.169.120.89,53,udp,0.065772,34,66,SF,1,62,1,94
MALICIOUS,8.523567,Cs1pGt217sdyfwl2ja,192.168.1.135,51325,52.169.120.89,53,udp,0.075109,35,251,SF,1,63,1,279
MALICIOUS,8.599,CG9iv64xDGj2Zogdcc,192.168.1.135,63130,52.169.120.89,53,udp,0.125376,35,258,SF,1,63,1,286
MALICIOUS,8.856816,CzKmYN13qjbK3EU5Rl,192.168.1.135,54789,52.169.120.89,53,udp,0.065166,43,278,SF,1,71,1,306
MALICIOUS,10.243859,CmyxaZ3dRu9BMiVAF5,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,64433,fd2d:ab8c:225::1,53,udp,0.00031,26,26,SF,1,74,1,74
MALICIOUS,10.549042,CcjtYR2324sTlyZrQh,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,53264,fd2d:ab8c:225::1,53,udp,0.066367,38,111,SF,1,86,1,159
MALICIOUS,10.615958,CdZVDr4HzdUpydBib1,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,64388,fd2d:ab8c:225::1,53,udp,0.008011,38,158,SF,1,86,1,206
MALICIOUS,10.755918,CjBBtS2OqvcuamBa16,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,58012,fd2d:ab8c:225::1,53,udp,0.000326,28,28,SF,1,76,1,76
MALICIOUS,11.653637,CMPNoOVqyy6Sziy3j,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,58121,fd2d:ab8c:225::1,53,udp,0.0003,26,26,SF,1,74,1,74
MALICIOUS,13.383265,CE2fsCjsrtT237eJ2,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,51797,fd2d:ab8c:225::1,53,udp,0.010402,34,50,SF,1,82,1,98
MALICIOUS,13.397081,Cbg46Y33blSnGgBlBc,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,52300,fd2d:ab8c:225::1,53,udp,0.1557,35,172,SF,1,83,1,220
MALICIOUS,13.553328,CwcISJyMzYHIEvn7j,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,55838,fd2d:ab8c:225::1,53,udp,0.006776,35,167,SF,1,83,1,215
MALICIOUS,14.203823,CjBX1J1iHEIB6jxnJj,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,51293,fd2d:ab8c:225::1,53,udp,0.984558,35,129,SF,1,83,1,177
MALICIOUS,43.504295,Cxdnqs2GRh8dcobVm6,192.168.1.188,137,192.168.1.135,137,udp,0.208641,174,211,SF,3,258,1,239
MALICIOUS,7.706215,CybNMxPLKd0gzboyi,fe80::da58:d7ff:fe00:f72,134,fe80::3415:2c17:d667:c2c1,133,icmp,7.990727,408,0,OTH,3,552,0,0
MALICIOUS,8.345905,Cj5Ctq1VhvrfpzhZZe,fe80::da58:d7ff:fe00:f72,547,fe80::3415:2c17:d667:c2c1,546,udp,1.053278,375,0,S0,3,519,0,0
MALICIOUS,12.711711,CXpIqo3y5OruvnWKqf,fe80::da58:d7ff:fe00:f72,135,fe80::3415:2c17:d667:c2c1,136,icmp,0.000247,24,24,OTH,1,72,1,72
MALICIOUS,15.25573,COIZdgb6qO0Yq1s89,fe80::da58:d7ff:fe00:f72,135,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,136,icmp,0.00041,24,24,OTH,1,72,1,72
MALICIOUS,16.502778,CWYp2y1HWKAS0hr9I4,192.168.1.135,62975,157.56.120.208,3544,udp,0.03413,61,109,SF,1,89,1,137
MALICIOUS,17.697946,COVOLQ1nbwOFUcLG9d,fe80::3415:2c17:d667:c2c1,135,fe80::da58:d7ff:fe00:f72,136,icmp,0.00021,24,16,OTH,1,72,1,64
MALICIOUS,315.452821,C4c9U044FdMgX1PQj7,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,55176,fd2d:ab8c:225::1,53,udp,0.000446,29,29,SF,1,77,1,77
MALICIOUS,320.454571,CTVAB84UjEZjcYEkOi,fe80::da58:d7ff:fe00:f72,135,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,136,icmp,0.000881,24,24,OTH,1,72,1,72
MALICIOUS,325.462591,CH5ytH7GSNStmzHFd,fe80::da58:d7ff:fe00:f72,135,fe80::3415:2c17:d667:c2c1,136,icmp,0.000416,24,24,OTH,1,72,1,72
MALICIOUS,541.432754,CJOr2q3RBAIJJLZdCg,192.168.1.112,49347,192.168.1.135,445,tcp,0.001184,0,0,RSTR,3,132,3,132
MALICIOUS,541.434166,CqCVK53OivKouZAyhd,192.168.1.112,49348,192.168.1.135,445,tcp,0.027572,344,341,RSTR,7,636,7,633
MALICIOUS,544.462591,Ck8U8F2nX4SKQYoxs1,192.168.1.112,49401,192.168.1.135,445,tcp,0.004627,455,409,RSTR,7,747,7,701
MALICIOUS,550.891514,CM3oA12XhPvk3EP7w5,192.168.1.112,49529,192.168.1.135,445,tcp,0.321263,222,328,RSTR,6,474,5,540
MALICIOUS,551.166217,CQ9eaA25CBxR9q3it4,192.168.1.112,49548,192.168.1.135,445,tcp,1.11631,222,252,RSTR,6,474,5,464
MALICIOUS,550.965537,CWHZhC25cgD1GmAoYc,192.168.1.112,49532,192.168.1.135,445,tcp,11.383274,4204,0,RSTR,7,4496,6,252
MALICIOUS,550.977904,CuT4fG1wymFuFIrhs,192.168.1.112,49533,192.168.1.135,445,tcp,11.371079,4204,0,RSTR,7,4496,6,252
MALICIOUS,551.005178,CbcsZ518D19nApZb4c,192.168.1.112,49536,192.168.1.135,445,tcp,11.345359,4204,0,RSTR,8,4536,7,292
MALICIOUS,551.026924,CGajz9XDOwNiy0XOk,192.168.1.112,49537,192.168.1.135,445,tcp,11.323854,4204,0,RSTR,7,4496,6,252
MALICIOUS,550.988042,CVL3t427DSZZ8eO2P3,192.168.1.112,49535,192.168.1.135,445,tcp,11.362871,4204,0,RSTR,8,4536,7,292
MALICIOUS,551.057027,C8QVKa4Fz0d9KH5d0k,192.168.1.112,49540,192.168.1.135,445,tcp,11.298912,4204,0,RSTR,7,4496,6,252
MALICIOUS,551.068458,CNIajP11BvLYgNrrOa,192.168.1.112,49541,192.168.1.135,445,tcp,11.287948,4204,0,RSTR,7,4496,6,252
MALICIOUS,551.08626,Cy94Z61Jh2AkFW3IC3,192.168.1.112,49542,192.168.1.135,445,tcp,11.270565,4204,0,RSTR,8,4536,7,292
MALICIOUS,551.10449,CSgv3m1xkbYdDSMxS6,192.168.1.112,49543,192.168.1.135,445,tcp,11.25267,4204,0,RSTR,7,4496,6,252
MALICIOUS,551.117797,C00Bcg3Mhf7DcCrxJ4,192.168.1.112,49544,192.168.1.135,445,tcp,11.239585,4204,0,RSTR,7,4496,6,252
MALICIOUS,551.134429,CuRL0z4qI68w40WVwa,192.168.1.112,49546,192.168.1.135,445,tcp,11.223093,4204,0,RSTR,7,4496,6,252
MALICIOUS,551.145449,CzBkmS3RNqDpDorZEb,192.168.1.112,49547,192.168.1.135,445,tcp,11.212246,4204,0,RSTR,7,4496,6,252
MALICIOUS,551.039213,CjWgKV3ZDvIe5afR95,192.168.1.112,49539,192.168.1.135,445,tcp,11.318633,4204,0,RSTR,8,4536,7,292
MALICIOUS,551.235164,CpxJ9A1aIsp2W6oTK3,192.168.1.112,49550,192.168.1.135,445,tcp,11.127672,4204,0,RSTR,8,4536,7,292
MALICIOUS,551.267512,CQJvRq1sLRxyGBwWBf,192.168.1.112,49552,192.168.1.135,445,tcp,11.230313,4204,0,RSTR,8,4536,7,292
MALICIOUS,551.283862,CcRxRq42TfFU1ZWnt,192.168.1.112,49553,192.168.1.135,445,tcp,11.214155,4204,0,RSTR,7,4496,6,252
MALICIOUS,551.296691,CbvzS71ZyfLkZpI0z1,192.168.1.112,49554,192.168.1.135,445,tcp,11.201436,4204,0,RSTR,7,4496,6,252
MALICIOUS,551.255329,CZu2V038WxvTJ1l2bb,192.168.1.112,49551,192.168.1.135,445,tcp,11.242905,4204,0,RSTR,8,4536,7,292
MALICIOUS,548.717611,CpaYPif9o20lfPijk,192.168.1.112,49484,192.168.1.135,445,tcp,13.8222,68171,728,RSTR,62,70663,32,2020
